Time,CPU,Memory,Temperature,Power
345,293.30%,1540,49.6,  4.64 W   
346,340.60%,1540,48.7,  5.39 W   
347,285.70%,1541,49.6,  4.46 W   
348,256.20%,1540,48.7,  4.03 W   
349,245.60%,1541,51.1,  3.86 W   
350,269.10%,1541,50.1,  4.28 W   
351,287.90%,1542,50.6,  4.52 W   
352,225.50%,1543,49.6,  3.55 W   
353,274.80%,1539,51.1,  4.34 W   
354,213.40%,1569,50.1,  3.35 W   
355,325.10%,1863,50.6,  5.12 W   
356,321.70%,1903,49.6,  5.04 W   
357,269.00%,2243,50.1,  4.20 W   
358,268.60%,2284,51.1,  4.23 W   
359,242.20%,2625,50.6,  3.79 W   
360,225.90%,2676,50.1,  3.54 W   
361,314.40%,2994,50.6,  4.98 W   
362,204.00%,3051,51.1,  3.21 W   
363,256.20%,3374,50.1,  4.03 W   
364,334.20%,3425,51.1,  5.26 W   
365,263.40%,3719,50.6,  4.12 W   
366,354.30%,3762,50.1,  5.63 W   
367,295.60%,4071,51.6,  4.68 W   
368,311.00%,4113,50.6,  4.90 W   
369,327.30%,4390,51.1,  5.15 W   
370,284.80%,4437,50.1,  4.54 W   
371,278.90%,4750,50.1,  4.41 W   
372,328.70%,4800,50.1,  5.19 W   
373,243.90%,5101,51.1,  3.86 W   
374,212.30%,5151,50.6,  3.34 W   
375,202.00%,5454,51.6,  3.15 W   
376,283.40%,5505,51.6,  4.45 W   
377,330.80%,1541,50.6,  5.24 W   
378,382.80%,1541,50.1,  6.01 W   
379,4.90%,210,45.7,  269 mW   
380,4.90%,213,43.8,  352 mW   
381,6.50%,211,44.3,  357 mW   
382,5.10%,211,44.3,  327 mW   
383,10.30%,212,43.8,  1.12 W   
384,300.10%,461,46.7,  4.77 W   
385,240.00%,436,46.2,  3.81 W   
386,316.70%,843,48.7,  4.95 W   
387,335.00%,816,49.1,  5.29 W   
388,256.50%,1156,49.6,  4.09 W   
389,228.50%,1141,49.6,  3.60 W   
390,367.10%,1510,49.6,  5.82 W   
391,258.90%,1486,49.1,  4.10 W   
392,278.20%,1869,49.6,  4.37 W   
393,261.10%,1858,49.1,  4.08 W   
394,231.50%,2194,48.7,  3.65 W   
395,278.40%,2178,49.1,  4.39 W   
396,344.10%,2533,49.1,  5.41 W   
397,252.90%,2527,49.1,  3.97 W   
398,272.10%,2864,48.7,  4.27 W   
399,261.90%,2854,49.6,  4.14 W   
400,283.70%,3237,49.1,  4.47 W   
401,266.00%,3218,49.1,  4.25 W   
402,327.10%,3547,47.7,  5.14 W   
403,320.30%,3570,48.2,  5.03 W   
404,227.60%,3918,47.7,  3.67 W   
405,214.30%,3906,48.2,  3.39 W   
406,301.20%,4204,48.7,  4.75 W   
407,153.40%,4218,48.7,  2.44 W   
408,301.40%,4541,48.2,  4.73 W   
409,268.10%,4569,48.7,  4.21 W   
410,262.70%,4861,47.7,  4.15 W   
411,257.30%,4890,47.7,  4.03 W   
412,265.20%,5167,47.2,  4.20 W   
413,230.60%,5196,49.1,  3.61 W   
414,181.80%,5525,49.1,  2.84 W   
415,295.30%,5546,48.2,  4.69 W   
416,384.50%,1222,47.7,  6.05 W   
417,394.00%,1224,47.2,  6.18 W   
418,286.90%,1224,47.2,  4.53 W   
419,281.00%,1223,48.2,  4.42 W   
420,212.80%,1226,48.2,  3.37 W   
421,283.70%,1224,47.7,  4.49 W   
422,292.20%,1224,46.2,  4.61 W   
423,262.00%,1225,47.7,  4.11 W   
424,191.10%,1226,47.7,  2.99 W   
425,192.00%,1225,47.7,  3.01 W   
426,307.40%,1511,47.2,  4.84 W   
427,260.30%,1549,46.7,  4.10 W   
428,274.60%,1852,46.7,  4.30 W   
429,278.90%,1882,47.7,  4.42 W   
430,196.50%,2194,47.7,  3.15 W   
431,289.00%,2220,46.7,  4.57 W   
432,287.70%,2542,46.7,  4.58 W   
433,311.80%,2566,46.2,  4.92 W   
434,275.00%,2874,46.7,  4.33 W   
435,263.70%,2907,46.7,  4.16 W   
436,257.10%,3219,47.7,  4.05 W   
437,212.30%,3249,47.7,  3.33 W   
438,228.30%,3541,47.2,  3.59 W   
439,264.00%,3566,46.7,  4.15 W   
440,300.00%,3883,46.2,  4.75 W   
441,258.30%,3912,47.2,  4.04 W   
442,260.50%,4209,45.7,  4.08 W   
443,236.30%,4248,47.2,  3.70 W   
444,264.70%,4567,46.7,  4.13 W   
445,245.50%,4589,46.7,  3.90 W   
446,219.20%,4892,45.7,  3.46 W   
447,210.90%,4924,47.2,  3.31 W   
448,274.60%,5214,47.2,  4.28 W   
449,238.90%,5246,46.7,  3.73 W   
450,119.80%,1762,45.7,  2.45 W   
451,385.00%,1764,45.7,  6.05 W   
452,348.40%,1765,46.7,  5.49 W   
453,150.90%,1766,46.7,  2.41 W   
454,254.90%,1765,47.2,  4.05 W   
455,326.20%,1769,47.2,  5.14 W   
456,245.00%,1767,46.2,  3.91 W   
457,371.60%,1767,47.2,  5.83 W   
458,217.70%,1801,46.7,  3.48 W   
459,217.60%,1768,45.7,  3.47 W   
460,330.40%,1802,46.2,  5.18 W   
461,253.30%,1767,46.7,  4.02 W   
462,265.30%,1988,45.7,  4.20 W   
463,263.30%,1972,46.7,  4.15 W   
464,210.90%,2331,46.2,  3.30 W   
465,319.40%,2318,47.2,  5.03 W   
466,292.50%,2680,45.7,  4.65 W   
467,236.60%,2664,46.2,  3.74 W   
468,362.90%,3032,46.2,  5.74 W   
469,310.80%,3028,46.2,  4.87 W   
470,300.50%,3355,46.7,  4.88 W   
471,231.60%,3378,47.2,  3.63 W   
472,386.80%,3674,47.2,  6.07 W   
473,278.90%,3696,45.7,  4.41 W   
474,317.60%,3995,45.2,  5.05 W   
475,269.70%,4027,45.7,  4.24 W   
476,234.80%,4345,46.7,  3.70 W   
477,271.90%,4374,44.8,  4.27 W   
478,342.80%,4684,46.2,  5.41 W   
479,219.90%,4706,45.7,  3.46 W   
480,219.60%,4993,44.8,  3.46 W   
481,215.50%,5004,46.2,  3.37 W   
482,210.00%,5317,46.7,  3.28 W   
483,332.80%,5336,45.7,  5.25 W   
484,346.70%,5670,46.2,  5.47 W   
485,384.20%,1768,46.2,  6.09 W   
486,379.20%,1767,46.2,  5.99 W   
487,394.10%,1766,46.2,  6.15 W   
488,254.50%,1767,46.2,  4.00 W   
489,300.90%,1770,46.2,  4.75 W   
490,265.80%,1769,45.7,  4.19 W   
491,232.90%,1769,45.2,  3.64 W   
492,218.90%,1771,46.2,  3.58 W   
493,182.60%,1772,45.2,  2.86 W   
494,268.90%,1769,45.2,  4.28 W   
495,222.90%,1768,46.2,  3.49 W   
496,223.00%,1766,46.7,  3.52 W   
497,277.30%,1767,46.7,  4.33 W   
498,254.60%,1796,44.8,  3.99 W   
499,250.70%,1828,45.2,  3.94 W   
500,232.10%,2138,45.2,  3.64 W   
501,299.30%,2174,45.7,  4.78 W   
